DateTime,AddedIPs,RemovedIPs
1536129030,11,10
1536134437,15,0
1536142849,13,25
1536150030,12,0
1536156629,9,12
1536163230,7,17
1536168630,15,27
1536174630,15,14
1536183630,13,10
1536191430,11,21
1536198029,7,0
1536206429,14,22
1536213029,12,16
1536219630,13,13
1536226829,14,11
1536234029,12,18
1536240630,10,11
1536246036,21,10
1536251430,16,12
1536257430,9,14
1536264030,10,9
1536270630,14,0
1536277228,12,19
1536283829,19,18
1536289829,7,12
1536297630,12,23
1536304232,9,0
1536309029,16,14
1536315030,12,8
1536323430,12,7
1536328829,16,14
1536334830,8,14
1536342030,8,16
1536349230,14,10
1536357030,19,23
1536364230,12,16
1536370229,9,13
1536376230,13,0
1536383429,17,8
1536390030,15,8
1536396030,16,11
1536402630,11,25
1536407444,15,0
1536413429,9,15
1536418829,14,15
1536424230,9,14
1536429630,12,11
1536435630,13,11
1536441030,14,0
1536446429,12,13
1536453629,10,17
1536460829,13,11
1536468630,9,19
1536475229,12,0
1536483029,9,23
1536490830,7,13
1536496230,17,15
1536503430,11,17
1536510030,11,14
1536517832,14,25
1536525031,8,17
1536531631,17,11
1536540030,22,23
1536555032,18,11
1536566430,15,24
1536577231,12,25
1536589830,20,32
1536601232,24,15
1536613231,17,35
1536623431,23,21
1536634249,21,17
1536645631,13,21
1536657031,12,15
1536665431,21,13
1536676831,13,24
1536689431,16,21
1536702031,20,14
1536712831,21,23
1536724831,18,17
1536735031,17,21
1536746431,23,17
1536757231,20,19
1536768031,19,12
1536779431,20,20
1536791430,14,21
1536802830,22,19
1536814830,16,20
1536824430,13,22
1536835230,18,20
1536846030,19,14
1536855631,18,15
1536865230,14,19
1536874831,15,0
1536885030,12,14
1536894630,21,18
1536904830,17,21
1536913230,17,14
1536922831,21,23
1536932430,18,16
1536942031,18,0
1536952250,15,25
1536960036,18,17
1536968429,20,0
1536979230,20,21
1536988232,11,14
1536996632,19,21
1537006829,21,16
1537017630,17,18
1537027230,16,16
1537036230,19,14
1537045230,13,25
1537053030,23,14
1537065031,22,33
1537076430,20,0
1537087831,18,44
1537099832,17,17
1537113031,16,15
1537125032,18,32
1537137031,18,42
1537148430,21,0
1537159830,23,23
1537170632,27,21
1537183230,22,21
1537195232,21,16
1537208430,20,19
1537219231,20,23
1537230630,22,19
1537241431,22,21
1537252230,14,18
1537263031,14,23
1537275030,21,14
1537287631,16,20
1537299632,19,19
1537311631,19,18
1537323630,19,19
1537335631,23,20
1537347630,19,41
1537357231,11,0
1537368632,18,21
1537379431,19,13
1537389630,18,19
1537401031,23,20
1537411831,18,0
1537422630,14,16
1537433431,18,16
1537443631,21,20
1537453230,17,36
1537463431,21,0
1537474830,11,20
1537485032,16,17
1537495831,19,17
1537506637,16,12
1537517432,13,15
1537526432,20,19
1537537830,20,19
1537549235,18,16
1537560631,18,21
1537572031,15,12
1537582848,16,40
1537592430,15,20
1537602030,19,0
1537612830,9,16
1537623631,13,22
1537634433,16,18
1537644637,11,17
1537654231,14,16
1537664433,12,9
1537674030,14,11
1537682432,14,14
1537693243,20,20
1537702831,18,12
1537713630,13,10
1537725630,20,10
1537735230,17,14
1537745430,11,17
1537755030,14,16
1537763430,15,19
1537771830,12,22
1537781430,17,20
1537791031,11,15
1537803630,19,20
1537813831,19,0
1537822831,19,27
1537831230,15,15
1537839029,20,0
1537846829,16,13
1537855238,19,12
1537863031,18,13
1537871431,12,22
1537878030,11,0
1537885831,14,16
1537893650,14,14
1537901430,13,13
1537909831,17,12
1537919429,15,16
1537929029,10,11
1537938629,15,13
1537947037,16,14
1537955430,13,13
1537963230,11,14
1537970430,14,13
1537977031,15,14
1537984230,22,19
1537990831,11,0
1537998030,11,11
1538005230,19,12
1538013029,14,14
1538020830,15,15
1538027429,14,11
1538034631,11,0
1538041830,14,17
1538048440,14,12
1538056243,10,12
1538063443,12,15
1538070651,8,32
1538077833,11,8
1538084444,14,16
1538091646,13,16
1538098241,12,0
1538104239,15,13
1538111439,11,13
1538118649,13,11
1538125250,16,9
1538131243,10,14
1538139039,14,23
1538148041,13,14
1538155841,13,12
1538163041,10,0
1538170841,11,24
1538179235,11,12
1538187034,18,11
1538194841,13,14
1538201438,13,12
1538209239,12,27
1538217043,17,0
1538224846,13,13
1538232646,13,14
1538239241,14,13
1538247645,14,27
1538254245,10,0
1538262031,14,11
1538268630,13,14
1538275230,14,0
1538282430,13,31
1538289641,12,11
1538296242,10,0
1538303446,9,24
1538310641,9,0
1538317239,10,14
1538323841,16,15
1538331641,6,16
1538339442,16,24
1538346640,14,0
1538353235,14,11
1538359837,11,8
1538367041,14,9
1538374240,16,12
1538380841,13,16
1538387443,9,12
1538394641,13,11
1538401835,8,12
1538407841,17,12
1538414438,16,15
1538421038,12,14
1538428240,15,0
1538434840,9,27
1538439638,17,12
1538446242,7,0
1538451040,11,21
1538456436,14,0
1538461842,9,15
1538467840,9,10
1538475038,12,9
1538482242,10,12
1538487630,14,13
1538494831,13,0
1538501430,8,30
1538507431,13,11
1538512230,14,11
1538517631,11,0
1538523629,15,13
1538529030,10,13
1538535030,14,13
1538541030,13,13
1538547029,17,12
1538552430,15,10
1538557830,15,14
1538563831,14,10
1538570431,12,8
1538577630,9,12
1538584831,9,12
1538592630,13,20
1538599830,14,0
1538607031,11,22
1538614230,12,13
1538622030,14,25
1538628630,14,12
1538635830,14,19
1538643630,9,24
